S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/4,0.74,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
2,2/1,0.15,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
3,14,7.85,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
4,14/6,1,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
5,14/5,1.22,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
6,14/4,1.01,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
7,14/1,1.26,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
8,14/2,1.33,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
9,14/3,1.05,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
10,15/3,0.43,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
11,15/4,0.60,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
12,16/1,1.24,Avuruvada-(0309051),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Avuruvada,2026-02-24 19:07:57
