S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,0.68,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
2,3,0.56,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
3,4,0.39,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
4,5,0.99,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
5,6,1.92,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
6,8,1.35,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
7,10,2.21,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
8,12,0.23,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
9,13,0.40,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
10,17,1.60,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
11,18,1.20,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
12,19,1.52,CHINTALURU-(0309038),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,CHINTALURU,2026-02-24 19:09:16
