S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3/4B,0.18,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
2,6/3,0.41,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
3,12/2,1.12,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
4,12/7,0.19,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
5,12/11B,0.34,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
6,12/9,0.04,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
7,16/6,0.26,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
8,17/5,0.18,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
9,17/2,0.19,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
10,20,0.36,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
11,22/1,0.18,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
12,23/1,0.12,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
13,23/6,0.12,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
14,24/7,0.11,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
15,26/5A,0.30,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
16,27/1B,0.63,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
17,27/11,0.56,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
18,28/4,0.68,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
19,28/1,0.56,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
20,29/2B,1.10,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
21,29/4A,0.13,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
22,30/2B,0.29,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
23,30/3B,0.41,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
24,30/1,0.28,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
25,30/3A,0.08,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
26,30/9A,0.17,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
27,30/7A,0.04,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
28,31/1,0.18,Gadirai-(0309024),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Gadirai,2026-02-24 19:13:28
