S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,16.39,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
2,1/2,1.68,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
3,4/1,0.33,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
4,7/1,0.18,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
5,8/1,0.60,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
6,11/1,0.42,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
7,12/1,0.27,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
8,16/8,0.26,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
9,17/1,0.46,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
10,18/1,0.48,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
11,19/1,0.42,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
12,22,0.43,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
13,23,0.45,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
14,24,0.37,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
15,26/2,0.34,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
16,27/2,0.09,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
17,28/2,0.24,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
18,31,0.68,Jammadevipeta-(0309022),OS.NO.394/2023,08-11-2023,SENIOR CIVIL JUDGE VISAKHAPATNAM,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
19,33/37B,0.71,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
20,37/2,0.63,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
21,38/2B,0.31,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
22,39/5B,0.33,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
23,40,0.18,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
24,41,0.34,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
25,42/1B,0.35,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
26,43/4B,0.26,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
27,44/9B,0.42,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
28,46/14,0.66,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
29,47/11,0.46,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
30,56/7,0.44,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
31,58/1,0.20,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
32,58/2,0.34,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
33,59/5,0.38,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
34,61/24,0.50,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
35,64,0.45,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
36,68/1,0.18,Jammadevipeta-(0309022),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Jammadevipeta,2026-02-24 19:15:37
