S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/1,68,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
2,3/1,96,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
3,4/12,69,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
4,6/5,18,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
5,11/4,60,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
6,12/1,77,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
7,16,15.02,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
8,17/1,66,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
9,18/2,18,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
10,19/1,1.28,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
11,20/1,49,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
12,20/2,47,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
13,22/1,36,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
14,22/2,1.11,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
15,23/5,1.62,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
16,24,112.98,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
17,24,1.15,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
18,24,1.15,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
19,26/1,51,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
20,30,83,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
21,31/3,17,POTHANAPUDI-(0309034),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,POTHANAPUDI,2026-02-24 19:29:56
