S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,2.97,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
2,3/10,1.30,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
3,5/5,1.19,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
4,5/5,0.60,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
5,5/5,0.59,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
6,6,0.98,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
7,7,0.24,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
8,8/6,0.44,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
9,9,0.45,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
10,11,0.49,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
11,14,1.05,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
12,15,1.09,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
13,19,2.13,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
14,20,2.53,Sangyam-(0309043),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Sangyam,2026-02-24 19:34:28
