S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,21.75,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
2,2,430.57,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
3,3,294.34,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
4,6,0.55,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
5,7,63,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
6,9/1,3.20,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
7,10,4.32,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
8,15/1,0.36,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
9,16,0.33,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
10,17,0.29,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
11,18,1.56,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
12,20,80,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
13,22/1,0.11,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
14,22/1,0.11,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
15,22/4,0.11,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
16,24,0.80,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
17,29,0.94,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
18,30/1,1.84,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
19,31,2.22,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
20,32/2,0.17,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
21,32/1B,2,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
22,33,0.45,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
23,34,0.73,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
24,35,0.12,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
25,36,0.62,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
26,37,0.54,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
27,38,0.38,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
28,39,0.50,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
29,41,1.38,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
30,44,1.64,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
31,46/3,1.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
32,46/5,1.64,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
33,46/2,1.36,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
34,46/3,1.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
35,46/2,1.36,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
36,46/1,1.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
37,47,0.37,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
38,48,0.56,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
39,49/1,2.80,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
40,49/2,0.08,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
41,50,1.88,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
42,51,1.82,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
43,52,0.44,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
44,53,0.24,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
45,54,0.60,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
46,55,7.60,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
47,56,5.02,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
48,56,5.02,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
49,57/3,2.06,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
50,57/2,4.90,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
51,57/1,2.44,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
52,58/4,1.05,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
53,58/5,0.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
54,58/6,0.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
55,58/7,2,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
56,58/9,0.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
57,58/10,1.55,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
58,58/11,1.65,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
59,58/12,1.77,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
60,58/13,0.95,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
61,58/2,1.80,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
62,58/10,1.55,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
63,58/11,1.65,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
64,58/3,3.23,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
65,58/4,1.04,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
66,58/12,1.77,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
67,58/5,0.16,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
68,58/7,2,Tatiparthi-(0309002),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Tatiparthi,2026-02-24 19:37:30
