S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,0.46,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
2,5/20,0.35,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
3,6/13,0.17,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
4,7,0.40,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
5,8,0.40,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
6,13/1,0.48,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
7,14,0.86,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
8,15,0.71,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
9,16/21,0.38,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
10,17/10,0.27,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
11,17/1,0.31,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
12,18,0.39,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
13,19,0.51,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
14,21,0.70,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
15,25/1,0.08,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
16,25/5,0.18,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
17,26/15,0.22,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
18,28,0.49,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
19,29,0.71,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
20,36/11,0.46,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
21,37/17,0.15,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
22,44/8,0.06,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
23,45/15,0.06,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
24,46/15,0.03,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
25,47/6,0.23,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
26,48/1,0.34,Veeranarayanam-(0309037),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeranarayanam,2026-02-24 19:39:55
