S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,4/1,3,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
2,7,62,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
3,8,79,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
4,9/5,1.03,Veeravilli-(0309033),-,-,-,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
5,9/1,1.02,Veeravilli-(0309033),-,-,-,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
6,11,4.95,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
7,13/1,80,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
8,13/2,40,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
9,15,69,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
10,17,6.40,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
11,18,6.25,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
12,21,50,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
13,22,62,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
14,31,64,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
15,32,67,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
16,35/15,7,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
17,37/1,4,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
18,40,1.84,Veeravilli-(0309033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Veeravilli,2026-02-24 19:40:29
