S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,53,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
2,6,43,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
3,7,17,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
4,8/5,91,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
5,11/2,6,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
6,15/1,69,G.Koduru-(0336025),3795/2008/E1,18-08-2015,"DIST.COLLECTOR,VSP",SRI GANGADHARA ESWARA SWAMY DEVASTANAM,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
7,15/1,69,G.Koduru-(0336025),0,29-11-2016,ASST COMMISI ENDOW VSP,GANGADESWARA S.T.GIDITURU,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
8,18,27,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
9,20,44,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
10,22,6.33,G.Koduru-(0336025),3795/2008/E1,18-08-2015,"DIST.COLLECTOR,VSP",SRI GANGADHARA ESWARA SWAMY DEVASTANAM,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
11,22,6.33,G.Koduru-(0336025),0,29-11-2016,ASST COMMISI ENDOW VSP,GANGADESWARA S.T.GIDITURU,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
12,28/1,26,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
13,31/1,40,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
14,33,4.50,G.Koduru-(0336025),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPTNAM,GANGADARESWARA SWMAY TEMPLE GIDUTURU,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
15,33,7.50,G.Koduru-(0336025),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPTNAM,GANGADARESWARA SWMAY TEMPLE GIDUTURU,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
16,33,7.50,G.Koduru-(0336025),RC.NO NNI/34576/2007 ENDOW COMMIS HYD,13-11-2008,GANGADARESWARA SWAMY TEMPEL,ENDOWMENT LAND,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
17,33,7.50,G.Koduru-(0336025),0,29-11-2016,ASST COMMISI ENDOW VSP,GANGADESWARA S.T.GIDITURU,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
18,35/9,22,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
19,35/19,22,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
20,36,1.12,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
21,39/4,23,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
22,42,60,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
23,47/5,61,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
24,48,53,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
25,51,61,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
26,52/1,38,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
27,53,76,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
28,56/1,25,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
29,57,93,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
30,58,88,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
31,60/1,30,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
32,62/1,36,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
33,63,1.88,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
34,64/7,20,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
35,66,5.06,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
36,67,3.38,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
37,69/2,5.68,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
38,70,63,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
39,71,88,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
40,72/5,3.88,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
41,78/P,2,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
42,78/P,1.40,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
43,78/P,2,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
44,78/P,3.82,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
45,78/P,2,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
46,78/P,2,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
47,78/P,2,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
48,78/P,1,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
49,78/P,2,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
50,85,58,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
51,89,2.14,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
52,90,3,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
53,91,5.28,G.Koduru-(0336025),3795/2008/E1,18-08-2015,"DIST.COLLECTOR,VSP",AMRUTHESAARASAAMIDEVASTANAM,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
54,91,5.28,G.Koduru-(0336025),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPTNAM,AMURUTHESWRA SWMAY TEMPLE P.P.AGRAHARAM,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
55,91,5.28,G.Koduru-(0336025),0,29-11-2016,ASST COMMISSINOR ENDOW VSP,AMRUTHESARA SWMAY TEMPLE,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
56,91,5.28,G.Koduru-(0336025),RC.NO NNI/34576/2007,13-11-2008,AMURTHATESWARA SWAMY TEMPEL,ENDOWMENT LAND,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
57,92,77,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
58,93,1.02,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
59,94,1.68,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
60,96,1.91,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
61,98,1.87,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
62,99,1,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
63,99,1.87,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
64,100,1.32,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
65,105/8,10.76,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
66,107,39,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
67,107/20,39,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
68,107/8,66,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
69,108/4,3,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
70,113,66,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
71,122,1.45,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
72,125,96,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
73,126,57,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
74,127,25,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
75,130,58,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
76,132/20,62,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
77,133/22,23,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
78,137/1,30,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
79,138,68,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
80,143/5,0.20,G.Koduru-(0336025),IA.02/23 & OS.45/23,02-03-2023,JR CIVIL JUDGE COURT NARSIPATNAM,GARAGA VENKATA LAKSHMI & SALADI SANTOSH,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
81,144,51,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
82,145,3.84,G.Koduru-(0336025),0,29-11-2016,ASST COMMISI ENDOW VSP,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
83,145,11.02,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
84,145,3.84,G.Koduru-(0336025),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPTNAM,KODANDARAMA SWMAY TEMPLE KOTAURATLA,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
85,145,11.02,G.Koduru-(0336025),3795/2008/E1,18-08-2015,"DIST.COLLECTOR,VSP",GOVT.LAND,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
86,145,11.02,G.Koduru-(0336025),0,29-11-2016,ASST COMMISSINOR ENDOW VSP,AMRUTHESARA SWMAY TEMPLE,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
87,146,52,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
88,147,36,G.Koduru-(0336025),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,G.Koduru,2026-02-24 19:47:09
