S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3/3B,66,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,B.C.COLONY,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
2,8/2,12,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,GOVT LAND,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
3,8/3,62,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,GOVT LAND,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
4,11,4.44,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,GOVT LAND,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
5,11/1,0.10,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,SCHOOL BUILDING,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
6,22,3.15,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,GOVT LAND,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
7,23,40,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,GOVT LAND,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
8,26,89,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,GOVT LAND,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
9,29,14.81,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,RAYAAPURAJU CHERVU,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
10,30/2C,42,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
11,30/2B,0.04,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
12,31/1B,2.25,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
13,38/1A,2.23,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
14,39/2,0.07,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
15,40/2,0.02,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
16,55,1.11,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
17,56,8.07,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,VAJRAGADA GRAMAMA PEDD CHERVU,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
18,70/2,0.03,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
19,70/1,22,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
20,72,3.87,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
21,73,0.11,Gangavaram-(0336009),OS NO.46/2021,08-04-2021,-,"HON'BLE JUNIOR CIVIL JUDGE,ANAPARTI",ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
22,74/1,1.29,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
23,74/2,0.08,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,STATE GOVT,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
24,76,13.53,Gangavaram-(0336009),3795/E1/2007,20-09-2018,DIST COLLECTOR,MAKIREDDY VARI CHERUVU,ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
25,78,0.05,Gangavaram-(0336009),OS NO.46/2021,08-04-2021,-,"HON'BLE JUNIOR CIVIL JUDGE,ANAPARTI",ANAKAPALLI,MAKAVARAPALEM,Gangavaram,2026-02-24 19:47:43
