S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,4.05,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
2,1/2,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
3,1/3,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
4,1/4,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
5,1/5,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
6,1/6,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
7,1/4,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
8,1/1,4.05,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
9,1/2,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
10,1/3,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
11,1/5,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
12,1/6,4.04,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
13,4,1.48,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
14,8,1.29,Makavarapalem-(0336016),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Makavarapalem,2026-02-24 19:51:30
