S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,5/1,3.09,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
2,5/2,37,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
3,6,9.66,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
4,7/1,13.23,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
5,7/2,15,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
6,11/1,59,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
7,14/14,10,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
8,14/17,12,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
9,14/1,10,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
10,18/1,44,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
11,20/2,4.05,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
12,20/1,20,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
13,21/3,9.23,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
14,32/10,25,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
15,32/13,27,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
16,37,6.13,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
17,40/1,5.58,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
18,41,64,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
19,42/2,22,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
20,42/5,54,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
21,43/5,4.15,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
22,43/1,1.38,N.G.R.P. Agraharam-(0336015),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,N.G.R.P. Agraharam,2026-02-24 19:52:41
