S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,0.36,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
2,2,0.72,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
3,3,0.49,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
4,5/1,0.34,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
5,6/6,0.27,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
6,7/2,1.88,Rachapalle-(0336021),RC.NO 34576/2007 ENDOW COMMIS HYD,13-11-2008,AMURTHESWARA SWAMY TEMPLE,ENDOWMENT LAND,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
7,7/2,1.88,Rachapalle-(0336021),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATNAM,AMUTHESWARA SWAMY TEMPLE P.P.AGRHARAM,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
8,7/2,1.88,Rachapalle-(0336021),0,29-11-2016,ASST COMMISNOR VSP,AMRUTHESWARA SWAMY TEMPLE,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
9,7/2,1.88,Rachapalle-(0336021),0,29-11-2016,ASST COMMISNOR VSP,GANGADHARESWARA SWAMY TEMPLEM,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
10,7/6,0.22,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
11,8/7,0.14,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
12,10/1,0.46,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
13,17,7.14,Rachapalle-(0336021),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATNAM,AMUTHESWARA SWAMY TEMPLE P.P.AGRHARAM,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
14,17,7.14,Rachapalle-(0336021),RC.NO 34576/2007 ENDOW COMMIS HYD,13-11-2008,AMURTHESWARA SWAMY TEMPLE,ENDOWMENT LAND,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
15,17,7.14,Rachapalle-(0336021),0,29-11-2016,ASST COMMISNOR VSP,AMRUTHESWARA SWAMY TEMPLE,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
16,23,0.84,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
17,25/1,0.22,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
18,28,0.68,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
19,29,0.66,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
20,30/1,0.30,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
21,31/7,0.60,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
22,33,4.28,Rachapalle-(0336021),0,29-11-2016,ASST COMMISNOR VSP,GANGADHARESWARA SWAMY TEMPLEM,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
23,33,4.28,Rachapalle-(0336021),RC.NO 34576/2007 ENDOW COMMIS HYD,13-11-2008,AMURTHESWARA SWAMY TEMPLE,ENDOWMENT LAND,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
24,33,4.28,Rachapalle-(0336021),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATNAM,AMUTHESWARA SWAMY TEMPLE P.P.AGRHARAM,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
25,33,4.28,Rachapalle-(0336021),0,29-11-2016,ASST COMMISNOR VSP,AMRUTHESWARA SWAMY TEMPLE,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
26,35/1,0.38,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
27,36/1,0.28,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
28,37/1,0.50,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
29,39,3.21,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
30,40,4.38,Rachapalle-(0336021),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Rachapalle,2026-02-24 19:56:17
