S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3/10,1.08,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
2,3,5,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
3,3/1,26,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
4,3/3,24,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
5,3/4,24,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
6,3/5,39,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
7,3/8,79,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
8,3/10,1.08,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
9,3/12,1.39,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
10,3/2,2.75,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
11,3/1,26,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
12,3/2,2,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
13,3/2,2.75,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
14,3/2,2.50,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
15,3/3,9,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
16,3/4,15,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
17,3/5,39,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
18,3/6,24,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
19,3/7,21,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
20,3/8,79,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
21,3/10,1.08,Seethanna Agraharam-(0336008),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Seethanna Agraharam,2026-02-24 19:58:05
