S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,76.53,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
2,2/3,2.28,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
3,2/6,62,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
4,2/8,52,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
5,2/2,2.66,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
6,2/1,10,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
7,2/1,10,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
8,2/4,50,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
9,2/4,50,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
10,2/3,2.28,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
11,2/1,10,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
12,2/2,2.66,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
13,2/4,50,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
14,2/6,62,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
15,2/8,52,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
16,4,1.10,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
17,5,67,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
18,9/1A,1.59,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
19,9/1B,1.29,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
20,9/1C,1.30,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
21,9/1D,1.19,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
22,9/1A,1.59,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
23,9/1B,1.29,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
24,9/1C,1.30,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
25,9/1D,1.19,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
26,12/1A,1.20,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
27,12/1B,1.19,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
28,12/1A,1.20,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
29,12/1B,1.19,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,LCC,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
30,13,1.20,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
31,14,76,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
32,16,3.50,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
33,17,1.39,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
34,18,1.66,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
35,19,94,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
36,21,1.12,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
37,22,1.73,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
38,23,2.56,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
39,24,2.38,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
40,25/2,3.46,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
41,26/2,9.05,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
42,27,50,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
43,28,39,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
44,30,4.52,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
45,31/1B,5.88,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
46,32/1A,4.04,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
47,33/1A,3.84,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
48,34,1.04,Venkannapalem-(0336019),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,MAKAVARAPALEM,Venkannapalem,2026-02-24 20:02:46
