S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,2.23,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
2,3/36,5,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
3,7,2.82,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
4,8/3,10,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
5,8/4,18,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
6,8/2,1,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
7,12,1.06,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
8,14,96,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
9,15/12,12,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
10,15/13,9,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
11,15/11,4,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
12,17,1.28,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
13,21,18,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
14,22/3A,13,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
15,24,9.90,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
16,26,5.92,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
17,28,44,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
18,30,68,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
19,31/3A,17,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
20,32/3A,11,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
21,33,1.33,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
22,35,1.32,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
23,37,59,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
24,38,13,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
25,41,57,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
26,46,44,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
27,56/2A,5,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
28,71,37,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
29,78/2B,5,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
30,79/3A,34,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
31,80/3A,23,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
32,81,10.26,Challamalla-(0334023),RC.NO. 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Challamalla,2026-02-24 20:04:41
