S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,50,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
2,10,1.20,Ganaparthi-(0334022),-,22-11-2016,ENDOWMENT LAND,ENDOWMENT LAND,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
3,10,1.20,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
4,14,1.17,Ganaparthi-(0334022),-,22-11-2016,ENDOWMENT LAND,ENDOWMENT LAND,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
5,14,1.17,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
6,34,3.65,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
7,36,2.16,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
8,37/2,52,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
9,37/1,7,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
10,37/3,42,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
11,38/2,60,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
12,38/1,2.20,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
13,41,2.06,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
14,44,15,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
15,46,45,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
16,56,1.51,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
17,56,1.51,Ganaparthi-(0334022),-,22-11-2016,ENDOWMENT LAND,ENDOWMENT LAND,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
18,59,50,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
19,60,4.16,Ganaparthi-(0334022),-,22-11-2016,ENDOWMENT LAND,ENDOWMENT LAND,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
20,60,4.16,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
21,67/2,12,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
22,67/1,1.01,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
23,67/1,1.01,Ganaparthi-(0334022),-,22-11-2016,ENDOWMENT LAND,ENDOWMENT LAND,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
24,71,23,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
25,72,43,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
26,82,36,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
27,85,8,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
28,86,90,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
29,102,43,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
30,107,33,Ganaparthi-(0334022),RC NO 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
31,109,0.40,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
32,109,0.40,Ganaparthi-(0334022),-,22-11-2016,ENDOWMENT LAND,ENDOWMENT LAND,ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
33,110,1.73,Ganaparthi-(0334022),RC NO.L3/9570/2016,28-07-2016,ASST COMMISSIONER ENDOWMENTS DEPARTMENT,"SRI SOMESWARA SWAMY TEMPLE,GANAPATHI",ANAKAPALLI,MUNAGAPAKA,Ganaparthi,2026-02-24 20:07:02
