S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,0.74,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
2,4,0.22,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
3,14,1.22,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
4,16,0.38,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
5,18,0.50,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
6,20,2.69,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
7,22/4,0.09,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
8,22/3,11.07,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
9,29/2,0.04,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
10,30,1.51,Melupaka-(0334130),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,GOVT LAND,ANAKAPALLI,MUNAGAPAKA,Melupaka,2026-02-24 20:11:25
