S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,15/1,1.40,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
2,15/2,1.59,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
3,25/30,4.50,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
4,214/1,24,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
5,215/7,14,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
6,216/8,38,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
7,217/1,30,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
8,218,1,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
9,219/2,6,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
10,219/1,12,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
11,220/1,9,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
12,220/4,54,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
13,221/5,0.97,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI SITARAMASWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
14,221/1,58,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
15,221/5,0.19,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
16,222/6,0.42,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI SITARAMASWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
17,222/10,44,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
18,222/11,0.09,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
19,227,1.46,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
20,228/8,2.10,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
21,228,1.20,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
22,229,1.20,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
23,230,1.20,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
24,231/5,0.17,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI SITARAMASWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
25,231/5,0.19,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI SITARAMASWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
26,237/2,1.48,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
27,237/2,1.48,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
28,238,44,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
29,239,17,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
30,241,4.58,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
31,241,4.58,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
32,242/4,0.04,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
33,243/10,0.87,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
34,243/10,2.10,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
35,249/2,1,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
36,249/1,13,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
37,249/9,0.24,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
38,252,48,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
39,253,48,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
40,254/4,25,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
41,262,1.54,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI VENUGOPALSWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
42,263/10,18,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
43,264/5,10,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
44,265/5,13,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
45,268/3,32,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
46,268/10,38,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
47,270,44,Thotada-(0334004),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
48,271/5,4,Thotada-(0334004),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI SITARAMASWAMY TEMPLE,MUNAGAPAKA",ANAKAPALLI,MUNAGAPAKA,Thotada,2026-02-24 20:20:48
