S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,183,32.35,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
2,184/13,0.20,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
3,186,0.35,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
4,187,0.38,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
5,188,0.46,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
6,189/1,0.05,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
7,191/14,0.08,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
8,191/13,0.08,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
9,192/11,0.40,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
10,192/10,0.25,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
11,192/1,0.35,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
12,197/1,0.82,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
13,199,0.39,Buchirajupeta-(0339029),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Buchirajupeta,2026-02-24 20:25:20
