S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,34.12,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
2,2,1.40,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
3,3,1.75,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
4,4/3,0.28,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
5,5/1,1.68,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
6,6,2.13,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
7,7,2.03,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
8,8/1,0.09,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
9,8/6,0.13,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
10,8/7,0.74,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
11,8/1,0.09,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
12,8/6,0.13,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
13,8/7,0.74,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
14,9/1,0.83,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
15,9/4,1.33,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
16,9/1,0.83,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
17,9/4,1.33,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
18,13,3.43,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
19,14/1,2.58,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
20,14/2,1.12,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
21,14/3,1.78,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
22,14/4,2.53,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
23,14/5,0.30,Dosalapadu-(0339002),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Dosalapadu,2026-02-24 20:38:19
