S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,7,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
2,3,2.04,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
3,5,1.81,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
4,7,1.39,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
5,9,1.26,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
6,11,0.65,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
7,12,0.86,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
8,17,1.78,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
9,18/2,3.02,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
10,19,3.21,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
11,21,2.17,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
12,22/2,0.06,G.JagannadhaPuram-(0339012),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,G.JagannadhaPuram,2026-02-24 20:39:21
