S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,0.32,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
2,5,1.12,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
3,9,0.98,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
4,12,0.69,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
5,13,0.68,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
6,14/2,1.82,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
7,15/1B,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
8,15/1C,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
9,15/1D,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
10,15/1A,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
11,15/1D,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
12,15/1C,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
13,15/1B,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
14,15/1A,0.61,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
15,16,0.69,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
16,17,0.63,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
17,19,0.31,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
18,22,0.63,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
19,23,1.29,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
20,25,0.36,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
21,29,3.73,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
22,30,4.06,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
23,31,2.53,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
24,32/1A,1.69,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
25,32/1B,1.69,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
26,32/1C,1.69,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
27,32/1D,1.69,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-IV,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
28,34,5.10,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
29,35,6.11,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
30,37,1.02,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
31,39,400,Nellipudi-(0339018),RC.NO.3795/2007/E1,20-09-2018,"DISTRCT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Nellipudi,2026-02-24 20:49:22
