S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,1.82,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
2,1/1,1.24,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
3,2/2,0.16,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
4,2/9,1.66,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
5,3/1,0.19,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
6,8/1,0.50,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
7,11,0.95,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
8,12,7.91,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
9,13,0.72,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
10,16,0.34,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
11,17,0.35,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
12,22,0.72,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
13,23,0.75,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
14,24,1.07,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
15,25,1.26,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
16,27,0.37,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
17,28,0.72,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
18,28,5.50,Vempadu-(0339021),UNAUTHORIZED OFFICER,19-02-2022,VMRDA,-,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
19,31/15,0.57,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
20,31/16,0.66,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
21,31/17,1.04,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
22,31/18,0.56,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
23,31/19,0.58,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
24,31/20,0.31,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
25,31/22,0.49,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
26,31/23,0.79,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
27,31/24,0.12,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
28,31/25,0.26,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
29,31/26,0.47,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
30,31/27,0.39,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
31,31/2,0.98,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
32,31/1,0.26,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
33,31/3,0.57,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
34,31/4,0.30,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
35,31/5,0.51,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
36,31/6,1.20,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
37,31/7,0.47,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
38,31/8,1.07,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
39,31/9,0.41,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
40,31/10,0.76,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
41,31/11,0.56,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
42,31/1,0.26,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
43,31/3,0.57,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
44,31/4,0.37,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
45,31/5,0.51,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
46,31/6,1.20,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
47,31/7,0.47,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
48,31/8,1.07,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
49,31/9,0.41,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
50,31/10,0.76,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
51,31/11,0.56,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
52,31/12,0.44,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
53,31/13,0.44,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
54,31/14,1.53,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
55,31/15,0.57,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
56,31/16,0.66,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
57,31/17,1.04,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
58,31/18,0.56,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
59,31/19,0.58,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
60,31/2,0.31,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
61,31/24,0.12,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
62,31/21,0.22,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
63,31/22,0.49,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
64,31/23,0.79,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
65,31/25,0.26,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
66,31/26,0.47,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
67,31/27,0.39,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
68,31/12,0.44,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
69,31/13,0.44,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
70,31/14,1.53,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",FORM-III,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
71,32/5,0.36,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
72,36,1.57,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
73,37,1.17,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
74,38/2,0.12,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
75,39/2,0.27,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
76,40,1.43,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
77,41,1.10,Vempadu-(0339021),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,NAKKAPALLI,Vempadu,2026-02-24 21:03:22
