S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1A22,0,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
2,1/1A26,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
3,1/1A23,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
4,1/1A24,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
5,1/1A25,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
6,1/1A27,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
7,1/1A28,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
8,1/1A29,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
9,1/1A30,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
10,1/1A31,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
11,1/1A32,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
12,1/1A33,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
13,1/1A34,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
14,1/1A35,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
15,1/1A36,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
16,1/1A37,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
17,1/1A38,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
18,1/1A39,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
19,1/1A40,-,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
20,1/1A4,0,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
21,1/1A,25.48,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
22,1/1A2,1.98,Balighattam-(0317009),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Balighattam,2026-02-24 21:07:05
