S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,4.47,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
2,13,1.70,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
3,18/4,35,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
4,18/2,54,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
5,18/3,79,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
6,18/4,3.75,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
7,18/1,0.54,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
8,18/2,0.54,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
9,18,1,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
10,18/3,0.79,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
11,18,1,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,ASSND LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
12,22,1.43,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
13,41,0.56,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
14,47,3.60,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
15,54,0.98,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
16,56,0.84,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
17,61,0.72,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
18,65,0.62,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
19,70,14.28,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
20,72,2.51,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
21,73,1.09,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
22,76,0.34,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
23,80,1.01,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
24,82,3.05,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
25,88/1A,0.14,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
26,89/1,0.16,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
27,90,0.14,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
28,91/1A,0.36,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
29,92/1A2,1.26,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
30,93,1.95,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
31,96,0.32,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
32,104,0.31,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
33,109,0.31,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
34,111,3.31,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
35,114/1B4,1.71,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
36,123,1.05,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
37,129,1.01,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
38,133/1,0.50,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
39,133/2,0.20,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
40,133/1,57,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
41,133/P,0.50,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
42,133/5,0.50,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
43,133/5,0.50,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
44,133/4,0.66,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
45,133/3,0.20,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
46,133/2,0.20,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
47,133/1,0.57,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
48,137/7,0.62,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
49,137/1,32,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
50,137/8,5.15,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
51,137/4,32,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
52,137/3,2.62,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
53,137/1,0.32,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
54,137/2,0.50,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
55,137/3,2.62,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
56,137/4,1.09,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
57,137/5,1.53,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
58,137/6,0.94,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
59,137/7,62,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
60,137/6,94,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
61,137/5,1.53,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLETOR VSP,ASSNG LAND,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
62,161,0.80,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
63,165/2,1,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
64,177,4.61,DUGGADA-(0317011),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,NARSIPATNAM,DUGGADA,2026-02-24 21:08:53
