S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,5,4.40,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
2,16/8,0.92,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
3,19/8,0.50,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
4,34/5,3.96,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
5,35,4.30,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
6,37,1.69,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
7,38,2.58,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
8,39,1.66,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
9,40,1.07,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
10,41/1,0.40,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
11,43,1.89,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
12,44,3.34,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
13,45,1.99,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
14,46/2,0.68,Gabbada-(0317003),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Gabbada,2026-02-24 21:10:36
