S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,1.28,Narsipatnam-(0317007),17/37/2019,19-02-2022,RC.NO.17/37/2019,DTCP,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
2,1,1.25,Narsipatnam-(0317007),17/37/2019,19-02-2022,RC.NO.17/37/2019,DTCP,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
3,2,0.87,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
4,3/3,0.33,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
5,3/12,0.22,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
6,3/11,1.10,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
7,3/10,1,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
8,3/13,0.23,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
9,3/4,0.66,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
10,3/2,0.30,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
11,3/5,0.30,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
12,3/6,0.32,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
13,3/7,0.30,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
14,3/8,0.33,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
15,3/9,1,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
16,4,0.36,Narsipatnam-(0317007),17/37/2019,19-02-2022,RC.NO.17/37/2019,DTCP,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
17,5/5,0.27,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
18,5/2,1.85,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
19,5/3,0.61,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
20,5/4,0.88,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
21,6,0.35,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
22,7/2,7,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
23,7/1,0.55,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
24,8/2A,5.42,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
25,8/2B,9.80,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
26,8/1,4.30,Narsipatnam-(0317007),ENDOWMENT COMM. VSP,-,-,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
27,9/12,0.08,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
28,9/11,0.42,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
29,9/10,0.84,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
30,9/2,0.18,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
31,9/3,0.60,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
32,9/4,0.50,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
33,9/5,0.30,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
34,9/6,0.15,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
35,9/7,0.18,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
36,9/8,0.07,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
37,9/9,0.42,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
38,10,0.80,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
39,12,3.06,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
40,17/1,2.05,Narsipatnam-(0317007),17/37/2019,19-02-2022,RC.NO.17/37/2019,DTCP,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
41,18/P,0.17,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
42,18,3.33,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
43,18/P,0.17,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,MAKIREDDY VARAHALU,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
44,18/PART,2.05,Narsipatnam-(0317007),17/37/2019,19-02-2022,RC.NO.17/37/2019,DTCP,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
45,19/2,0.20,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
46,31,7.01,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
47,32/1,1.63,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
48,32/2,7.41,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
49,34,0.59,Narsipatnam-(0317007),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Narsipatnam,2026-02-24 21:12:58
