S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,39,0.70,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
2,40,1.65,Neelampeta-(0317002),ENDOWMENT COMM.VSP,-,-,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
3,41,41,Neelampeta-(0317002),ENDOWMENT COMM.VSP,-,-,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
4,45/9,0.23,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
5,46/11,0.27,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
6,50/8,67,Neelampeta-(0317002),ENDOWMENT COMM.VSP,-,-,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
7,52/9,0.15,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
8,52/4,0.19,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
9,53/17,0.12,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
10,53/9,0.37,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
11,55/13,0.28,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
12,56/11,0.15,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
13,58,0.74,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
14,59/1,0.01,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
15,59/2,0.61,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
16,60/1,1.69,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
17,60/2,0.40,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
18,62/1,1.70,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
19,62/3,0.14,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
20,62/2,0.22,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
21,69/9,45,Neelampeta-(0317002),ENDOWMENT COMM.VSP,-,-,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
22,70,0.88,Neelampeta-(0317002),RC.NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,NARSIPATNAM,Neelampeta,2026-02-24 21:13:35
