S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,2.12,Vootamalla-(0316003),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
2,2/2,80,Vootamalla-(0316003),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
3,2/3,1.98,Vootamalla-(0316003),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
4,2/5,12,Vootamalla-(0316003),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
5,2/6,47,Vootamalla-(0316003),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
6,2/1,1.26,Vootamalla-(0316003),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
7,2/2,12,Vootamalla-(0316003),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
8,2/4,86,Vootamalla-(0316003),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
9,2/5,12,Vootamalla-(0316003),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
10,2/6,47,Vootamalla-(0316003),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,Vootamalla,2026-02-24 21:50:52
