S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/1,56,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
2,3/1,36,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
3,4/1,50,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
4,4/14,0.07,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
5,5/3,24,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
6,6,1.35,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
7,8,62,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
8,9/2,1.80,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
9,10,88,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
10,11/2,2.38,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
11,12/1,0.09,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
12,13/2,15.65,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,CHERUVU,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
13,16/3,5.78,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
14,16/3,1.50,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
15,18/2,2.40,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,D PATTA,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
16,18/2,10.42,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
17,19/7,25,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
18,19/9,16,YerakabhoopatiAgraharam-(0316037),3795/2007/E1,20-09-2018,COLLECTOR VSP,GOVT LAND,ANAKAPALLI,NATHAVARAM,YerakabhoopatiAgraharam,2026-02-24 21:53:12
