S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/E,38.17,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
2,3,40,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
3,5/1B,4.08,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
4,5/2B,57,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
5,5/2A,2.69,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
6,5/1A,45,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
7,6/6P,2.36,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
8,6/2,40,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
9,6/1,40,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
10,9/1,86,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
11,9/1B,2.64,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
12,10,63,Zilledipudi-(0316009),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,NATHAVARAM,Zilledipudi,2026-02-24 21:54:49
