S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3/10,2.20,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
2,4,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
3,5,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
4,6,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
5,10,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
6,11,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
7,16,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
8,17,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
9,20,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
10,21,-,Cheepurupalle (East)-(0332024),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 8-7-2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Cheepurupalle (East),2026-02-24 21:56:51
