S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
2,2,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
3,3,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
4,4,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
5,5,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
6,6,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
7,7,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
8,8,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
9,9,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
10,10,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
11,11,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
12,12,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
13,13,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
14,14,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
15,15,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
16,16,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
17,17,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
18,18,-,Dasapatrunipalem-(0332015),MEMO NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007 E1 DT 8-7-2016,STEEL PLANT,ANAKAPALLI,PARAVADA,Dasapatrunipalem,2026-02-24 21:59:54
