S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
2,2,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
3,4/1,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
4,4/2A,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
5,5,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
6,6,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
7,7,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
8,8,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
9,9,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
10,10,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
11,11,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
12,12/3,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
13,12/1,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
14,13,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
15,14/2B,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
16,14/2,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
17,14/1,-,Paravada-(0332018),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Paravada,2026-02-24 22:09:01
