S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1B,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
2,1/5,6.36,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.72016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
3,1/6B,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
4,1/9,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
5,1/6A,2.06,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.72016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
6,2/9,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
7,2/2,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
8,2/7,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
9,2/8,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
10,2/1,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
11,2/6,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
12,2/4,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
13,2/5,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
14,2/10,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
15,4,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
16,8/13,-,Thadi-(0332005),MEMO.NO.G1/4225/2013,26-10-2016,RC.NO.3795/2007/E1 DT.8.7.2016,GOVERNMENT LAND,ANAKAPALLI,PARAVADA,Thadi,2026-02-24 22:18:00
