S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3,0.11,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
2,4/4,1,Mangavaram-(0338005),ARB.OP.25/2024,07-11-2024,ARBITRAL TRIBUNAL THRISSUR,ALLU. SURYA CHANDRA KUMARI ALLU .VENKATA RAMANA,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
3,12,1.05,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
4,14,0.67,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
5,15,0.49,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
6,16/2D,0.15,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISKAHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
7,16/2B,0.03,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISKAHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
8,16/2A,0.02,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISKAHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
9,16/2C,0.02,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISKAHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
10,22,0.72,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
11,23,0.48,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
12,24,0.98,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
13,25/1,0.32,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
14,26/3,0.42,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
15,27/1,0.25,Mangavaram-(0338005),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR ,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Mangavaram,2026-02-24 22:29:34
