S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,7.52,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
2,2,0.65,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
3,4,2,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",SRI VENUGOLAPALSWAMY TEMPLE,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
4,4,0.60,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",SRI VENUGOLAPALSWAMY TEMPLE,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
5,4,2.50,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",SRI VENUGOLAPALSWAMY TEMPLE,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
6,4,3.30,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",SRI VENUGOLAPALSWAMY TEMPLE,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
7,5,1.07,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
8,6/4,0.40,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
9,6/1,0.41,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
10,7,0.63,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
11,11,0.73,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
12,12,0.92,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
13,13,1.08,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
14,14/2,0.38,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
15,15/2,0.15,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
16,16,0.76,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
17,17/10,1.32,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",ENDOWMENT LAND,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
18,17/21,0.38,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
19,18,0.83,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
20,19,1.03,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
21,20/5,0.20,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
22,21/4,0.03,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-II,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
23,22/4,0.12,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
24,25/5,0.23,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
25,25/4,1.54,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",ENDOWMENT LAND,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
26,26/6,0.25,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
27,26/2,1.42,Satyavaram-(0338008),RC.NO.3795/2008/E1,14-07-2015,"DISTRICT COLLECTOR,VISAKHAPATNAM",ENDOWMENT LAND,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
28,27/4,0.19,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
29,28/6,0.25,Satyavaram-(0338008),RC.NO.3795/2007/E1,20-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",ANNEXURE-1,ANAKAPALLI,PAYAKARAOPETA,Satyavaram,2026-02-24 22:39:27
