S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,7/1,1.88,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
2,7/1,1.88,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
3,8/2,2.70,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
4,9,3.63,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
5,10,2.72,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
6,17,2.19,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
7,19,6.76,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
8,20,0.33,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
9,21,1.12,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
10,22,4.43,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
11,35,0.31,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
12,37,0.78,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
13,40,1.84,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
14,44,3.45,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
15,49,0.21,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
16,51/1,0.09,Gokivada-(0342002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Gokivada,2026-02-24 22:44:10
