S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,119/1,0.28,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
2,133,0.39,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
3,134,0.72,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
4,135/12,0.23,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
5,138/6,1.13,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
6,140/1,0.64,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
7,143,0.18,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
8,145,1.89,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
9,147/3,0.55,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
10,148,0.50,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
11,150/5,0.06,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
12,151,3,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
13,167,0.91,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
14,170,4.90,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
15,172,12.70,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
16,173/17,0.15,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
17,174,3.63,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
18,175,0.70,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
19,176,0.60,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
20,181,0.57,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
21,184,4.01,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
22,187,1.05,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
23,188,0.35,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
24,190,0.75,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
25,191,0.70,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
26,192,0.64,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
27,193,1.05,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
28,194/1,0.91,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
29,196,4.44,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
30,197,1.70,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
31,198,0.99,Moturupalem-(0342011),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,SEZ(GOVT LAND),ANAKAPALLI,RAMBILLI,Moturupalem,2026-02-24 22:55:13
