S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,0.50,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
2,3,2.32,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
3,4,1.64,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
4,6/1B,0.94,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
5,7,38,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
6,10,1.03,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
7,15,4.80,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
8,34,0.34,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
9,35,85,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
10,41,0.49,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
11,49,0.73,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
12,52/2,0.55,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
13,62,0.99,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
14,66,2.77,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
15,77,36,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
16,82,1.65,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
17,86,0.03,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
18,90/A3,0.17,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
19,92/3,0.09,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
20,93,0.05,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
21,94,0.05,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
22,95,0.07,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
23,96,0.53,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
24,100/2,0.76,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
25,100/1,0.20,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
26,101/2,0.19,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
27,101/3,0.03,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
28,111,2.51,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
29,113,0.96,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
30,114/2,0.74,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
31,115,1.30,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
32,116,5.24,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
33,134,88,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
34,145,43,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
35,145,43,Murakada-(0342024),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENR DEPT,SR MALLIKARJUNA SWAMY TEMPLE,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
36,176,1.02,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
37,205,1.76,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
38,219/1,102,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
39,230,1.47,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
40,231,2,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
41,235,3.44,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
42,236,4.76,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
43,237,4.98,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
44,238,5.48,Murakada-(0342024),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Murakada,2026-02-24 22:57:26
