S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,244,3.66,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
2,245/1,0.88,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
3,246/1,0.45,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
4,247/3,0.34,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
5,248,7.10,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
6,249/1,0.36,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
7,253/19,2.24,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
8,254/4,1.28,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
9,256/38,0.13,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR,STATE GOVT LAND,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
10,258/2,8.35,Pudi-(0342012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC SEZ,ANAKAPALLI,RAMBILLI,Pudi,2026-02-24 23:00:01
