S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,4/4,0.25,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
2,6/2A,0.06,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
3,9/5,0.84,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
4,9/6,0.01,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
5,9/7,0.57,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
6,9/1B,0.84,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
7,10/1,0.16,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
8,11/1,0.52,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
9,11/2,0.10,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
10,11/3,0.11,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
11,11/5,1.16,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
12,12/2,0.88,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
13,12/3,0.22,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
14,12/4,0.57,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
15,12/5,0.23,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
16,12/11,0.34,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
17,12/12,0.24,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
18,12/5B,1.72,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
19,12/12,0.24,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
20,13/1,1.64,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
21,13/1,0.32,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
22,13/10,2.17,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
23,14/1,0.35,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
24,17/1,1.88,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
25,18,3.28,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
26,19/1,2.72,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
27,19/4,1.23,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
28,20/1,4.35,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
29,20/3,4.32,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
30,20/7,3.16,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
31,20/8,4.25,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
32,20/10,4.15,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
33,20/11,3,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
34,20/13,1.48,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
35,20/13,1.48,Buddibanda-(0319010),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Buddibanda,2026-02-24 23:09:44
