S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/13,24,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
2,2/1,66,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
3,3/1,14,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
4,3/9,64,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
5,4/2,32,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
6,6/57,11,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
7,8/11,1.43,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
8,9,2.89,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
9,10,1.18,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
10,11/3B,63.50,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
11,13,80,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
12,15,7.62,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
13,20,83,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
14,26/1,2.52,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
15,26/2,19,Chinapachila-(0319013),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Chinapachila,2026-02-24 23:19:37
