S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/2,37,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
2,3,76,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
3,6,77,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
4,7,49,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
5,8,47,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
6,9/2,1.97,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
7,11,40,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
8,13/2,3.47,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
9,14,33,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
10,15,57,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
11,16,83,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
12,17,45,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
13,18,66,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
14,22,71,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
15,23,19,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
16,24/15B,5,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
17,24/14B,1,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
18,25,59,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
19,26/1,1.31,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
20,27/11,39,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
21,29/2,2.04,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
22,32/86,9,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
23,32/2,34,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
24,33/1,1.72,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
25,35,35,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
26,36,50,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
27,37/4,10,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
28,37/2,41,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
29,39,47,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
30,40/1A,39,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
31,41/2B,32,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
32,42/1B,52,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
33,42/1A/2,11,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
34,42/4C/2,1,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
35,43,1.98,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
36,44,8.44,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
37,45,12.56,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
38,46,4.56,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
39,47,30,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
40,48,54,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
41,49,2.53,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
42,50,32.45,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
43,52,49,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
44,53,68,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
45,54/11,1.19,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
46,55,71,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
47,56/4,20,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
48,56/1,95,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
49,61,2.22,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
50,64/3,4.15,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
51,65,1,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
52,66,48,Dondapudi-(0319027),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Dondapudi,2026-02-24 23:25:36
