S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/33,1.35,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
2,1/4,21,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
3,1/40,1.78,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
4,1/10,1.48,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
5,1/23,1.31,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
6,1/29,99,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
7,1/25,1.90,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
8,1/28,1.31,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
9,1/27,93,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
10,1/18,62,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
11,1/5,4.10,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
12,1/9,52,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
13,1/30,57,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
14,1/22,2.27,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
15,1/35,25,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
16,1/13,96,Guddipa-(0319030),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Guddipa,2026-02-24 23:31:21
