S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,9/4,7.87,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
2,9/1,9.59,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
3,9/2,9.48,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
4,9/3,1.36,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
5,10,3.20,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
6,11/1,1.47,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
7,14/7C,78,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
8,14/5E,20,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
9,14/5D,20,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
10,14/8D,19,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
11,14/5C,18,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
12,14/8C,11,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
13,14/5B,18,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
14,14/8B,12,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
15,14/5A,24,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
16,14/8A,10,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
17,14/7F,10,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
18,14/7D,67,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
19,14/7B,62,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
20,14/7E,12,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
21,14/7C,78,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
22,14/7A,49,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
23,14/7F,10,Gudiwada-(0319020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Gudiwada,2026-02-24 23:32:46
