S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,0.40,Kothakota-(0319028),RCNO-3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
2,4,3.58,Kothakota-(0319028),RCNO-3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
3,7,1.90,Kothakota-(0319028),RCNO-3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
4,9/6,1.12,Kothakota-(0319028),RCNO-3795/2007E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
5,12/4,0.15,Kothakota-(0319028),RCNO-3795/2007E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
6,13/7,2.74,Kothakota-(0319028),RCNO-3795/2007E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
7,13/2,0.79,Kothakota-(0319028),RCNO-3795/2007E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
8,43,0.35,Kothakota-(0319028),RCNO-3795/2007E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
9,45,1.60,Kothakota-(0319028),RCNO-3795/2007E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
10,48/1,4.50,Kothakota-(0319028),RC NO 3795/2008/E1,18-08-2015,-,-,ANAKAPALLI,RAVIKAMATHAM,Kothakota,2026-02-24 23:39:25
