S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,4/1,4,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
2,5,3.48,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
3,6,2.82,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
4,10/1,2.96,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
5,13/2,1.03,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
6,16,2.98,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
7,19,79,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
8,20/2,99,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
9,21/1,84,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
10,21/1,1.63,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
11,21/1,84,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
12,29/18,2.22,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
13,31/5,5,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
14,31/4,5,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
15,31,2,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
16,31,2,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
17,31/3,1,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
18,31/3,1,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
19,31/P,2,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
20,31/P,2,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
21,31/1,1,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
22,31/1,1,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
23,31/3,96,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
24,31/4,5,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
25,31/5,5,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
26,31/1,2.42,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
27,31/3,96,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
28,31/1,2.42,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
29,34/2,3,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
30,34/3,2.90,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
31,34/1,5,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
32,34/2,3,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
33,34/3,2.90,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
34,34/1,5,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
35,39/3,1.09,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
36,39/1,92,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
37,40/1,27,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
38,49/1,0.60,Tattaband-(0319032),"IA.244,OS.244/2024",22-05-2024,"PRI JUNIOR CIVIL JUDGE,VIZIANAGARAM",GOKIVADA RAMANAA ALIAS CHINA RAMANA S/O SAMUDRAM & GOKIVADA RAMU W/O RAMANA ALIAS CHINA RAMANA,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
39,54/1,1.08,Tattaband-(0319032),"IA.244,OS.244/2024",22-05-2024,"PRI JUNIOR CIVIL JUDGE,VIZIANAGARAM",GOKIVADA RAMANAA ALIAS CHINA RAMANA S/O SAMUDRAM & GOKIVADA RAMU W/O RAMANA ALIAS CHINA RAMANA,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
40,55/3,40,Tattaband-(0319032),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Tattaband,2026-02-24 23:52:42
