S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,383.05,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
2,2/12,4.15,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
3,2/8,4.55,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
4,2/11,4,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
5,2/8,4.55,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
6,2/3,2.90,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
7,2/15,3.52,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
8,2/21,4,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
9,2/9,2.73,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
10,2/9,3.56,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
11,2/7,4,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
12,2/4,2.90,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
13,2/5,2.80,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
14,2/18,2.42,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
15,2/2,2.90,Totakurapalem-(0319033),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,RAVIKAMATHAM,Totakurapalem,2026-02-24 23:55:23
