S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,0.82,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
2,2/7B,1.63,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
3,2/16,0.91,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
4,2/1B,1.11,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
5,3/1A,1.46,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
6,4/1A,1.09,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
7,8/3B,0.63,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
8,16,5.20,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
9,19/6B,0.65,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
10,20/1A,0.01,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
11,23/1B,0.56,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
12,24/1B,0.19,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
13,24/18,0.46,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
14,25/1B,0.26,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
15,26/1B,0.28,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
16,29,1.81,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,TANARI TATABBAI,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
17,30,0.24,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
18,35/1A,0.01,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
19,37,0.56,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
20,38,0.21,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
21,39/1A,0.42,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
22,40/3,0.31,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
23,41/6B,0.05,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
24,42,2.17,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
25,43,0.50,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
26,44/1B,0.70,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
27,45,0.79,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
28,46,0.72,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
29,48/27B,0.38,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
30,49,0.56,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
31,50/1B,0.74,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
32,54,4.01,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
33,55/1B,0.25,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
34,58/1B,0.42,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
35,58/21B,0.16,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
36,59/2,0.02,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
37,60/1A,0.30,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
38,60/5B,0.15,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
39,65/14C,0.25,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
40,66/2,0.05,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
41,66/3,0.09,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
42,66/1,0.42,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
43,67,0.90,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
44,68/1B,1.48,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
45,68/1A,0.36,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
46,68/2A,0.48,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
47,69/1,0.37,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
48,69/2B,0.19,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
49,69/2C,0.02,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
50,70/13B,0.01,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
51,70/1A,1.61,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
52,70/29,1.46,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
53,73/15A,0.79,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
54,73/16B,0.42,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
55,74/1,0.64,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
56,74/2,0.14,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
57,74/3,0.01,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
58,74/3,2,Z. Kothapatnam-(0319004),ENDOWMENT COMM VSP,-,-,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
59,74/1,6,Z. Kothapatnam-(0319004),ENDOWMENT COMM VSP,-,-,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
60,74/4,2,Z. Kothapatnam-(0319004),ENDOWMENT COMM VSP,-,-,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
61,74/5,2,Z. Kothapatnam-(0319004),ENDOWMENT COMM VSP,-,-,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
62,75/2,0.04,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
63,77,0.48,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
64,78,0.47,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
65,83/2B,2.12,Z. Kothapatnam-(0319004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLECTOR VISAKHAPATNAM,-,ANAKAPALLI,RAVIKAMATHAM,Z. Kothapatnam,2026-02-24 23:57:00
