S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,7,6.88,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
2,11,4.61,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
3,14/2,0.77,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
4,16,3.27,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
5,18,3.74,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
6,20/2,0.21,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
7,21/1C,0.25,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
8,23,2.36,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
9,25/1B,0.35,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
10,27,1.74,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
11,29,5.11,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
12,30,3.63,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
13,31/1B,5.62,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
14,32/2,0.90,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
15,32/1B,0.38,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
16,33/1,0.90,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
17,33/3,0.59,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
18,33/2B,6.76,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
19,34/4B,4.75,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
20,34/3,1.79,Butchampeta-(0318004),RC NO.3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,ROLUGUNTA,Butchampeta,2026-02-25 00:00:17
