S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3/1,0.26,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
2,4,1.33,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
3,6,2.10,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
4,7/3,4.53,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
5,12,1.15,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
6,13/15,3.48,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
7,16/2,6.04,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
8,19/1,0.14,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
9,19/5,0.09,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
10,19/1,0.14,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,KAKARA PARADESI,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
11,19/2,9.65,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
12,20,10.62,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
13,26,6.90,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
14,28/20,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
15,28/21,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
16,28/19,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
17,28/18,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
18,28/17,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
19,28/16,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
20,28/15,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
21,28/14,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
22,28/13,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
23,28/12,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
24,28/11,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
25,28/10,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
26,28/1,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
27,28/2,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
28,28/3,1.05,Ayyannapalem-(0323007),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Ayyannapalem,2026-02-25 00:56:07
