S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
2,2,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
3,6,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
4,8/19,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
5,11/1,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
6,11/2,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
7,11/1,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
8,11/2,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
9,12/1,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
10,12/2,-,Nanginarapadu-(0323031),MEMO NO.G1/4777/2017,14-08-2017,RC.NO.3795/2007/E1 DT 16.03.2017,GOVERNMENT LAND,ANAKAPALLI,SABBAVARAM,Nanginarapadu,2026-02-25 01:13:13
