S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,112.40,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
2,2,0.31,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
3,3,2.07,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
4,6,0.25,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
5,7/1,4.90,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
6,11/2,0.02,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
7,11/1,0.47,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
8,12/1,0.04,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
9,13,2.13,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
10,15/26,-,Narapadu-(0323019),OS 171/15 IA 327/15,24-10-2016,"PRL.SR.CIVIL JUDGE, AKP",-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
11,17/18,0.09,Narapadu-(0323019),RC.NO.3795/2007/E1,22-10-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,SABBAVARAM,Narapadu,2026-02-25 01:13:55
