S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,3/2,39,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
2,17/3A/B/C,33,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
3,17/1B1,30,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
4,17/1B3,43,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
5,17/1C,28,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
6,17/2A,61,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
7,17/5,6,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
8,17/1A1,20,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
9,17/1B1,30,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
10,17/1B3,43,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
11,17/1C,28,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
12,17/2A,61,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
13,17/3A/B/C,33,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
14,18/1A,8,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
15,18/2A,8,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
16,18/2A,1,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
17,18/1A,3,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
18,18/2A,3,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
19,18/2A,4,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
20,18/2B,4,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
21,18/2A,6,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
22,18/2C,6,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
23,18/2B1,37,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
24,18/2C1,12,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
25,18/2B1,37,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
26,18/2C1,12,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
27,19/7,52,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
28,22/12,0.39,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
29,22/2,1.38,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
30,22/9,8,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
31,28/3,12,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
32,32/4,25,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
33,36/1,41,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
34,37/1,48,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
35,39/32,81,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
36,40/7,17,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
37,40/7/1,17,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
38,41/8,28,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
39,41/8/2,28,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
40,42/1,23,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
41,43/1,16,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
42,44/1,64,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
43,44/27,30,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
44,45/13,28,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
45,46/1,35,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
46,46/2,18,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
47,47/1,77,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
48,52/4,21,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
49,56/5,28,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
50,64/12,14,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
51,65/16,44,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
52,67/1,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
53,68/2,40,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
54,74/1,48,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
55,77/1,26,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
56,79/13,78,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
57,81/1,42,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
58,82/1B,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
59,83,1.34,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
60,84/6,0.07,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
61,84/1B,15,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
62,84/2A-2,1,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
63,84/3A-2,2,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
64,84/4,6,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
65,84/5,6,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
66,84/7,7,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
67,84/8,11,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
68,84/2,20,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
69,85/2,25,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
70,86/1B,10,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
71,86/2B,17,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
72,86/4B,8,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
73,86/6B,17,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
74,86/7A,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
75,86/7B,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
76,86/7C,15,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
77,86/8A2,2,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
78,86/8B,65,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
79,87/2,10,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
80,88/1,1,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
81,88/9B,4,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
82,88/9D,2,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
83,89/1B,1,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
84,89/1D,1,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
85,89/2B,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
86,89/5B,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
87,89/6B,4,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
88,89/6D,3,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
89,89/7B,11,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
90,89/15-B,12,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
91,93/1,21,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
92,94/6,70,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
93,95/1,5,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
94,96/2B,3,Dharmavaram Agraharam-(0340006),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,S RAYAVARAM,Dharmavaram Agraharam,2026-02-25 00:32:29
