S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/3,0.16,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
2,1/2,0.06,Bayyavaram-(0341012),RC NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
3,2/11,0.12,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
4,2/7,0.24,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
5,2/9,0.53,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
6,2/8,0.12,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
7,2/6,0.40,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
8,2/5,0.20,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
9,2/4,0.12,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
10,2/3,0.20,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
11,2/2,0.16,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
12,2/19,0.14,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
13,2/18,0.15,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
14,2/17,0.22,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
15,2/16,0.07,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
16,2/15,0.18,Bayyavaram-(0341012),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Bayyavaram,2026-02-25 01:21:07
