S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,1.04,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
2,12/2,2.02,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
3,16/B2,48,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
4,16/A,1.30,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
5,16/B1,31,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
6,17/B,6,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
7,18/1,38,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
8,19/B,14,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
9,19/A,35,Padmanabharaju peta-(0341014),RCNO 3795/2007/E1,25-08-2018,DIST.COLLECTOR.VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
10,24,88,Padmanabharaju peta-(0341014),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOMENT DEPT,SRI VENUGOAPALA SWAMY TEMPLE,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
11,24,0.88,Padmanabharaju peta-(0341014),RC.NO.3795/2007/E1,19-01-2016,DIST COLLECTOR VSP,GOVT LAND ANEXURE-3,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
12,31/1,5.46,Padmanabharaju peta-(0341014),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOMENT DEPT,SRI VENUGOAPALA SWAMY TEMPLE,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
13,31/2,55,Padmanabharaju peta-(0341014),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOMENT DEPT,SRI VENUGOAPALA SWAMY TEMPLE,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
14,31/2,0.55,Padmanabharaju peta-(0341014),RC.NO.3795/2007/E1,19-01-2016,DIST COLLECTOR VSP,GOVT LAND ANEXURE-3,ANAKAPALLI,YELAMANCHILI,Padmanabharaju Peta,2026-02-25 01:26:45
