S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,3.42,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
2,2/1K1,17,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
3,2/1I1,34,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
4,2/1L1,14,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
5,2/1A1,20,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
6,2/1J1,10,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
7,2/1G1,10,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
8,3/1B2A,5,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
9,3/1B1A,27,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
10,3/1A1,41,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
11,3/2A,3,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
12,3/1B3A,6,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
13,3/3/1A,1.44,Pulaparthi-(0341015),RC.NO.3795/2007/E1,25-08-2018,"DIST,COLLECTOR,VSP",STATE GOVT,ANAKAPALLI,YELAMANCHILI,Pulaparthi,2026-02-25 01:27:22
