S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,1.40,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
2,5,1.16,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
3,8,4.69,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
4,10/1B,54,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2007,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
5,11/2B,53,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2007,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
6,13,89,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
7,16,28,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
8,18,1.28,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
9,21/1,57,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
10,21/2,11,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2007,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
11,24/2A,2,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2007,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
12,24/3A,4,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2007,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
13,24/4A,7,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2007,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
14,25,30,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
15,30,1.18,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
16,34,1.90,Thurangalapalem-(0341002),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Thurangalapalem,2026-02-25 01:30:19
