S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,1.14,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
2,1,1.14,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
3,2,4.07,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
4,3/1,4.45,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
5,4/2D,0.47,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
6,4/2C,0.37,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
7,4/2A,0.74,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
8,4/1A,0.25,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
9,5/1B,0.35,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
10,6/2,1.04,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
11,6/1,0.08,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
12,7/1B,1.08,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
13,8/2,1.39,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
14,9/1B,2.38,Yerravaram-(0341009),RC N O 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
15,10/1,0.79,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
16,11,1.06,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
17,11,1.06,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
18,16,3.33,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
19,17/1,7.23,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
20,21,0.57,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
21,21,0.57,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
22,22/A2,0.36,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
23,23/2,0.08,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
24,25,1.27,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
25,26/B/2B,0.39,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
26,26/A/1B,0.29,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
27,27/7B,0.06,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
28,32,1.70,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
29,32,1.70,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
30,33/1A,0.28,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
31,34,0.90,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
32,35/2,2.61,Yerravaram-(0341009),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,YELAMANCHILI,Yerravaram,2026-02-25 01:32:41
