S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,5.25,KURUGUNTA-(1225007),GOMS NO.201,05-05-2016,SEC 22 (1) (A) (E),-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
2,1/2,5.21,KURUGUNTA-(1225007),GOMS NO.201,05-05-2016,SEC 22 (1) (A) (E),-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
3,1/3,5.30,KURUGUNTA-(1225007),GOMS NO.201,05-05-2016,SEC 22 (1) (A) (E),-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
4,1/1,5.25,KURUGUNTA-(1225007),GOMSNO.59,16-02-2023,-,-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
5,1/2,5.21,KURUGUNTA-(1225007),GOMSNO.59,16-02-2023,-,.,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
6,1/3,5.30,KURUGUNTA-(1225007),GOMSNO.59,16-02-2023,-,.,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
7,1/1,5.25,KURUGUNTA-(1225007),GOMSNO.59,16-02-2023,-,.,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
8,2,0.34,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
9,7/3,1.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
10,7/1,5,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
11,7/2,4.68,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
12,7/3,0.20,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
13,7/1,5,KURUGUNTA-(1225007),GOMSNO.59,16-02-2023,-,.,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
14,7/3,1.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
15,7/3,0.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
16,7/4,0.80,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
17,7/1,5,KURUGUNTA-(1225007),GOMS NO.201,05-05-2016,SEC 22 (1) (A) (E),-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
18,7/3,0.20,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
19,8/1,1.30,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
20,8/1,1.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
21,8/2,2.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
22,8/2,2.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
23,8/3,4.85,KURUGUNTA-(1225007),GOMSNO.59,16-02-2023,-,.,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
24,8/5,2.37,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
25,8/5,2.38,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
26,8/5,2.38,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
27,8/3,4.85,KURUGUNTA-(1225007),GOMS NO.201,05-05-2016,SEC 22 (1) (A) (E),-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
28,8/4,4.75,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
29,12/2,5,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
30,12/3,2.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
31,12/3,2.72,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
32,12/4,2.75,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
33,12/4,0.90,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
34,12/1,1.49,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
35,12/6,5.21,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
36,12/7,5.04,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
37,12/8,2.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
38,12/1,3.34,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
39,12/5,5.04,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANEXURE 1,SEC 22A(1)(A)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
40,18/1,2.58,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
41,23,2.44,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
42,43,7.50,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
43,45,3.03,KURUGUNTA-(1225007),E2/644/2016,14-03-2018,"ANNUXURE2,SEC22A(1)(B)",-,ANANTAPUR,ANANTAPUR,KURUGUNTA,2026-02-25 01:45:51
