S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,348.61,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
2,2/A8,1.20,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
3,2/A16,2.34,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
4,2/A4,0.18,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
5,2/A9,1.06,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
6,2/K,1.41,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
7,2/H,0.82,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
8,2/C,0.77,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
9,2/A11,1.37,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
10,2/5,0.94,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
11,2/A1,0.28,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
12,2/A10,1.12,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
13,2/A12,1.41,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
14,2/A13,3.81,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
15,2/A14,3.60,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
16,2/A15,2.89,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
17,2/A4,0.47,D.HONNUR-(1202012),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,BOMMANAHAL,D.HONNUR,2026-02-25 02:27:27
